"","year","rain_yr","rain_sum","pot_ev_yr","pot_ev_sum"
"1",1991,469.7,273.7,630.121687929342,492.2766437684
"2",1992,595.9,317.3,714.288420019627,594.825024533857
"3",1993,658.9,342.3,610.976054955839,504.769283611384
"4",1994,721.5,419.6,657.818253189401,542.123159960746
"5",1995,599.5,315.2,645.110893032385,524.033562315996
"6",1996,550,359.8,524.638959764475,439.219430814524
"7",1997,499.6,292.9,654.107458292444,523.520902845927
"8",1998,602.3,315.5,625.477625122669,502.758390578999
"9",1999,438.6,231.3,668.068989205103,524.777526987242
"10",2000,565.8,332.9,650.357899901865,525.435132482826
"11",2001,648.8,290.7,589.162512266928,489.00441609421
"12",2002,722.8,436.4,615.688518155054,481.664082433759
"13",2003,430.5,192.9,720.897252208047,600.973110893032
"14",2004,563.6,305.8,622.100490677134,493.819332679097
"15",2005,641.6,369.1,628.456329735034,503.008537782139
"16",2006,484.4,314.3,688.7233562316,548.099411187439
"17",2007,906.8,571,677.725613346418,548.844847890088
"18",2008,570.9,256.6,674.015309126595,553.372718351325
"19",2009,617.8,309.6,655.000490677135,545.596172718351
"20",2010,619.2,308.9,599.453680078508,508.111874386654
"21",2011,644.6,411,668.487046123651,546.762217860648
"22",2012,575,333.8,664.995093228656,541.774877330716
"23",2013,667.7,347.2,620.268204121688,513.219430814524
"24",2014,476.5,289.6,666.468007850834,539.378017664377
"25",2015,497.5,214.6,730.159470068695,591.447105004907
"26",2016,503.5,282.3,695.904023552503,554.676447497547
"27",2017,854.1,544.5,660.631697742885,538.233366045142
"28",2018,344.2,186.4,825.817468105986,669.579097154073
"29",2019,506.3,265.5,803.438861629048,649.428459273798
